idx,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,class
63,-90.00,1.86,37.36,-5.67,-56.98,39.23,7.07,7.73,72.55,-0.37,38.39,38.72,-13.12,20.12,74.89,-12.68,-10.27,90.00,
64,-90.00,-0.64,39.08,-9.60,-56.83,39.68,8.70,-2.98,90.00,-1.32,28.30,54.48,-11.38,8.35,90.00,-9.22,-14.82,90.00,
65,-90.00,-1.90,32.32,0.13,-67.93,68.27,11.10,15.98,52.97,2.01,39.35,32.83,-13.19,17.19,83.42,-12.39,-12.70,90.00,
66,-90.00,0.46,32.40,-4.28,-62.95,52.94,6.10,2.25,76.98,-4.40,29.12,49.57,-15.02,6.84,90.00,-13.28,-18.86,90.00,
67,-90.00,3.65,37.36,-9.54,-53.79,35.44,2.25,-3.59,90.00,-9.09,26.62,54.36,-16.87,4.64,90.00,-15.34,-15.14,90.00,
68,-90.00,-2.01,44.74,-8.73,-42.29,50.20,11.26,18.08,51.22,2.27,42.48,29.70,-8.85,17.32,77.74,-7.38,-11.19,90.00,
69,-90.00,1.82,49.95,-12.01,-40.61,41.42,6.60,12.01,58.66,-3.22,38.34,36.34,-12.34,21.06,68.41,-10.75,0.49,90.00,
70,-90.00,4.69,48.81,-14.69,-48.05,33.96,4.30,11.38,58.94,-5.64,37.87,37.88,-14.57,20.16,71.84,-13.83,1.72,90.00,
71,-90.00,4.25,48.21,-10.48,-44.77,23.70,6.25,12.31,61.09,-3.75,38.59,38.10,-12.39,19.50,72.09,-12.04,1.27,90.00,
72,-90.00,-0.67,46.78,-10.93,-47.09,32.86,4.18,10.76,63.69,-4.73,42.01,37.85,-12.58,25.59,75.01,-13.12,8.27,90.00,
73,-90.00,-11.29,39.33,-7.52,-44.36,52.54,15.65,0.42,73.98,5.67,29.88,41.41,-2.81,10.78,71.81,-3.60,-3.06,90.00,
74,-90.00,-13.74,32.25,-5.81,-47.49,67.70,15.52,-3.00,90.00,5.43,24.69,48.73,-2.21,4.43,83.67,-1.99,-10.51,90.00,
75,-90.00,8.03,38.70,-8.77,-52.13,36.16,0.04,2.73,70.18,-9.47,34.96,41.74,-18.19,17.47,79.55,-17.19,-3.22,90.00,
76,-90.00,17.24,39.97,-14.55,-47.64,25.08,-7.80,9.96,65.29,-16.12,42.13,38.91,-27.09,22.97,76.71,-24.59,1.52,90.00,
77,-90.00,11.72,51.98,-15.15,-38.05,21.58,0.16,6.17,71.32,-9.70,40.22,39.01,-21.78,24.36,74.53,-19.42,5.21,90.00,
78,-63.79,17.28,58.26,-12.59,-19.77,24.24,-0.42,13.22,55.56,-9.95,43.15,30.39,-22.30,27.74,62.62,-19.25,7.66,90.00,
79,-90.00,23.56,38.27,-13.30,-34.90,23.50,-4.33,-0.84,72.60,-14.23,28.10,47.94,-23.31,4.70,90.00,-23.94,-15.67,90.00,
80,-90.00,15.47,46.70,-11.11,-52.19,19.41,-10.42,4.30,65.88,-19.97,38.79,41.00,-26.96,19.11,90.00,-25.73,3.66,90.00,
81,-90.00,3.65,46.28,-10.42,-47.12,27.01,-2.21,2.65,69.12,-9.63,35.51,42.43,-18.35,17.66,90.00,-17.43,2.88,90.00,
82,-90.00,14.13,45.07,-11.65,-29.72,32.70,4.39,3.79,68.99,-3.97,30.46,46.08,-11.66,8.00,90.00,-12.94,-10.08,90.00,
83,-90.00,7.82,44.93,-10.56,-36.74,25.90,5.20,-0.05,75.97,-2.96,30.55,49.26,-9.15,6.48,90.00,-12.05,-3.22,90.00,
84,-90.00,5.16,45.65,-12.43,-42.35,29.88,-0.43,-2.22,90.00,-9.95,28.03,53.71,-14.73,3.62,90.00,-15.62,-6.49,90.00,
85,-90.00,4.92,46.07,-13.16,-42.30,26.61,0.15,-1.62,90.00,-9.60,28.43,53.03,-14.08,4.04,90.00,-14.78,-5.41,90.00,
86,-90.00,8.46,45.24,-13.10,-42.85,24.61,-3.17,-0.29,84.59,-12.95,30.20,51.77,-17.59,5.18,90.00,-18.45,-3.82,90.00,
87,-90.00,7.22,50.60,-13.98,-32.78,27.91,-0.97,3.44,72.72,-10.53,32.35,48.49,-15.41,5.78,90.00,-14.82,-5.65,90.00,
88,-90.00,10.28,47.93,-15.91,-35.59,28.70,-4.19,6.97,74.87,-13.17,36.44,47.80,-18.34,8.57,90.00,-18.45,-4.63,90.00,
89,-90.00,10.41,47.54,-14.17,-40.92,27.82,-2.25,4.76,71.86,-11.04,38.40,41.03,-20.10,15.62,90.00,-20.38,4.40,90.00,
90,-90.00,-2.60,29.59,2.24,-90.00,49.76,-15.03,-90.00,60.74,-10.98,43.90,31.71,-7.44,16.32,72.04,-6.81,1.59,90.00,
91,-90.00,-3.23,30.05,2.04,-90.00,50.01,-13.28,-86.91,63.92,-9.83,44.23,31.35,-7.78,16.38,72.49,-5.27,-11.30,90.00,
92,-90.00,-2.53,30.22,1.64,-90.00,50.78,-12.61,-76.13,68.50,-10.39,43.82,31.68,-9.53,17.33,71.26,-5.95,-13.29,90.00,
93,-90.00,-2.55,33.93,-2.57,-79.09,49.45,-16.40,-90.00,41.98,-5.26,46.98,26.72,-11.19,29.91,54.06,-1.17,11.81,73.31,
94,-90.00,-2.68,27.88,8.85,-64.40,90.00,-9.23,-90.00,55.28,-1.55,48.44,15.58,-13.77,26.21,59.99,-8.79,7.08,90.00,
95,-90.00,-6.40,30.20,6.69,-66.86,90.00,-9.57,-90.00,65.61,-10.43,49.71,19.45,-8.55,29.59,47.19,0.54,-12.47,90.00,
96,-90.00,-6.52,33.86,4.19,-69.39,80.77,-7.52,-65.54,80.50,-11.69,50.02,19.61,-6.77,42.95,22.88,1.78,-3.29,90.00,
97,-90.00,-1.82,27.04,8.79,-90.00,81.64,-14.55,-86.16,65.70,-13.63,48.84,24.61,-13.04,39.96,35.68,-7.02,-2.43,90.00,
98,-90.00,-9.36,25.90,11.13,-60.62,90.00,-2.62,-90.00,52.66,-1.76,40.02,25.60,-5.31,30.35,39.39,-1.12,-15.23,84.81,
99,-90.00,-34.57,31.24,8.99,-30.13,90.00,28.21,-90.00,53.65,21.34,30.03,20.93,18.22,15.69,28.53,22.04,-19.71,54.32,
100,-90.00,-18.31,32.36,4.57,-49.21,90.00,9.51,-88.62,70.93,7.39,40.93,23.45,6.55,25.42,39.16,10.36,-18.66,73.03,
101,-90.00,6.95,29.62,4.16,-75.11,63.75,-13.97,-63.33,70.48,-10.18,44.46,23.94,-11.40,29.93,44.18,-10.12,-22.07,90.00,
102,-90.00,1.42,20.60,7.68,-65.87,90.00,-8.04,-82.07,58.44,-5.25,37.90,34.05,-4.11,25.26,46.85,-8.11,-43.58,57.07,
103,-90.00,-7.11,25.93,4.98,-59.45,90.00,-2.64,-90.00,69.58,1.32,40.71,29.68,0.24,27.74,41.93,-0.68,-35.62,62.22,
104,-90.00,-5.66,31.39,6.92,-90.00,64.41,-3.14,-54.38,90.00,-9.45,47.89,24.14,-5.23,37.58,30.10,-3.19,8.08,80.75,
105,-90.00,-19.03,31.61,5.72,-52.27,90.00,16.32,-50.84,90.00,8.15,37.96,22.39,10.47,22.15,28.13,10.31,-8.26,65.19,
106,-90.00,-5.81,33.33,3.27,-81.83,62.97,-2.11,-45.87,90.00,-7.68,47.49,23.64,-0.67,37.66,24.38,-0.55,0.13,90.00,
107,-90.00,-6.93,39.88,1.35,-90.00,54.97,-3.23,-40.67,90.00,-7.00,50.79,17.06,-0.69,39.70,10.08,3.49,8.88,68.40,
108,-90.00,-6.98,38.24,2.00,-90.00,58.09,-2.11,-41.57,90.00,-6.09,50.50,17.71,-0.83,40.04,10.98,3.41,11.25,67.30,
109,-90.00,-3.39,27.20,10.91,-76.78,90.00,-13.50,-90.00,43.94,-8.06,54.47,8.38,-6.86,32.78,39.58,-6.55,4.83,90.00,
110,-90.00,-3.65,31.32,8.43,-71.95,90.00,-11.81,-90.00,51.78,-11.00,54.24,8.77,-6.11,40.10,27.67,-4.43,9.56,83.95,
111,-90.00,-4.88,32.48,7.80,-68.46,90.00,-7.47,-90.00,55.81,-7.76,53.33,8.60,-4.64,40.48,24.58,-1.76,10.45,77.70,
112,-90.00,-3.18,31.70,7.36,-71.07,90.00,-9.31,-90.00,56.70,-9.28,52.80,11.09,-7.22,40.85,26.23,-4.59,11.16,77.46,
113,-90.00,-8.62,36.73,0.93,-63.57,71.41,-6.38,-90.00,62.19,-8.70,52.41,11.89,-7.61,40.60,26.91,-1.60,7.50,83.51,
114,-90.00,-1.56,40.43,-5.75,-51.49,71.41,-2.70,-90.00,65.18,-2.84,55.27,5.54,-4.14,42.84,17.93,-0.41,11.87,74.33,
115,-90.00,-15.90,39.04,-0.05,-43.69,90.00,4.48,-90.00,53.04,1.69,47.25,10.46,7.30,31.99,5.96,11.16,6.16,57.45,
116,-41.30,-0.76,90.00,-17.90,-18.27,36.73,11.44,-30.56,90.00,0.71,41.67,-28.72,-1.08,25.85,-28.10,15.47,28.84,30.82,
117,-70.07,1.27,57.34,-10.99,-39.62,42.65,-5.43,-57.11,77.36,-11.11,48.50,-9.09,-8.34,35.87,-11.32,3.07,25.30,44.10,
118,-90.00,2.62,46.31,-4.40,-28.19,56.21,6.12,-66.70,56.37,2.42,36.23,0.43,0.06,26.10,1.78,0.20,-0.04,52.23,
119,-90.00,-0.21,52.13,-8.16,-39.48,49.86,-0.72,-67.78,72.95,-4.91,48.34,-0.82,-5.08,38.57,-0.17,3.78,17.81,54.51,
120,-90.00,7.04,36.07,-6.87,-56.68,47.12,-4.00,28.83,24.39,-17.63,50.06,20.74,-24.05,39.64,41.09,-20.25,17.24,80.81,
121,-90.00,11.84,43.82,-13.45,-61.77,35.87,-12.63,34.48,20.03,-24.09,61.80,13.49,-30.35,50.85,33.42,-25.84,27.69,71.85,
122,-90.00,3.06,42.41,-8.76,-46.47,44.66,-0.21,29.40,18.44,-12.39,49.29,16.10,-18.58,40.43,33.78,-14.13,18.76,69.81,
123,-90.00,-0.37,49.24,-13.20,-34.75,48.35,7.18,34.00,9.48,-2.20,52.79,10.64,-8.74,43.26,28.01,-3.71,21.51,66.22,
124,-90.00,-1.18,49.76,-10.66,-37.87,44.16,3.34,30.44,12.11,-7.69,48.74,11.20,-14.09,40.27,27.51,-8.97,21.13,60.49,
125,-90.00,3.14,49.09,-11.88,-40.65,44.10,0.53,32.70,10.78,-9.76,52.74,8.69,-16.14,44.29,26.10,-12.05,24.08,61.80,
126,-90.00,5.00,51.21,-13.97,-41.74,40.93,-1.33,34.47,9.96,-10.99,56.59,7.46,-17.36,48.41,25.26,-12.77,26.50,65.26,
127,-90.00,5.27,52.05,-12.41,-38.07,38.80,-0.57,31.60,8.14,-10.11,52.26,6.11,-16.34,45.49,23.15,-11.06,25.48,61.11,
128,-90.00,-3.10,55.96,-14.01,-31.32,46.79,7.43,33.98,6.51,-1.82,52.30,6.84,-8.39,44.30,23.10,-3.13,23.28,61.77,
129,-77.44,-3.49,55.39,-12.84,-28.66,45.98,9.10,31.97,5.47,-0.32,48.89,6.80,-7.39,40.94,22.76,-2.07,21.33,58.59,
130,-68.67,4.85,60.52,-13.97,-34.88,30.50,-4.17,31.35,3.35,-12.18,52.03,0.50,-19.49,47.82,16.48,-14.56,31.97,51.65,
131,-55.07,-3.70,68.57,-13.33,-19.75,36.00,8.27,29.37,-4.79,1.49,45.82,-3.13,-6.35,41.42,13.32,-0.64,28.24,47.49,
132,-68.31,-0.87,61.03,-14.55,-28.19,38.80,5.18,32.59,2.23,-2.61,50.91,2.75,-9.60,43.86,19.81,-4.75,25.61,56.67,
133,-50.83,-3.70,76.93,-16.99,-17.91,35.20,8.08,33.32,-7.83,2.74,51.07,-6.18,-4.79,46.42,10.40,1.21,33.22,47.38,
134,-61.10,-1.46,63.28,-13.35,-26.82,34.78,3.36,30.41,0.27,-4.12,48.75,-0.41,-11.15,43.32,15.60,-5.41,27.89,51.16,
135,-60.80,3.78,70.23,-16.87,-28.91,29.45,-2.61,33.50,-1.43,-8.97,53.15,-3.37,-15.73,46.45,14.58,-10.94,30.28,49.47,
136,-62.21,3.24,63.88,-14.89,-30.43,31.17,-0.77,31.99,0.56,-7.86,51.97,-1.10,-13.68,45.73,16.98,-8.36,28.39,54.18,
137,-56.70,2.05,68.01,-15.83,-26.55,30.59,0.57,32.47,-2.46,-6.00,52.35,-3.53,-11.88,46.80,14.08,-5.78,30.90,51.41,
138,-61.04,1.73,63.73,-12.44,-22.89,33.71,5.19,28.30,-2.86,-2.01,44.88,-2.08,-8.52,39.61,14.66,-2.40,24.05,50.16,
139,-38.92,-5.48,90.00,-14.78,-11.48,29.16,8.08,28.72,-14.87,3.43,44.83,-13.45,-3.97,42.19,2.55,5.29,33.35,37.68,
140,-32.16,-3.08,90.00,-12.95,-8.06,23.10,5.95,25.17,-20.12,1.95,41.36,-18.87,-5.86,40.59,-3.14,3.58,37.29,31.80,
141,-32.43,-0.04,90.00,-15.03,-10.20,20.96,3.98,27.18,-20.71,0.79,44.64,-19.52,-6.69,43.35,-3.41,2.08,39.52,33.27,
142,-49.30,0.54,90.00,-14.30,-18.94,23.88,1.26,28.15,-10.08,-4.04,46.42,-10.51,-10.40,44.82,5.30,-2.34,34.81,44.55,
143,-37.59,1.45,90.00,-16.01,-15.47,21.61,0.49,29.86,-15.06,-3.63,48.53,-16.15,-10.36,46.55,0.33,-1.51,39.20,37.81,
144,-35.08,6.73,90.00,-13.87,-14.93,15.84,-3.18,26.40,-17.44,-7.27,45.21,-19.16,-14.57,44.95,-2.26,-5.51,40.59,34.50,
145,-8.84,5.13,90.00,-11.11,4.40,6.51,0.03,19.22,-41.72,-1.15,35.31,-42.80,-11.03,39.64,-24.75,0.36,56.35,12.75,
146,4.17,2.98,77.02,2.89,10.69,-0.61,-1.45,1.49,-51.34,-4.40,13.82,-56.15,-15.11,23.36,-36.43,-2.70,51.01,-2.68,
147,1.12,5.72,83.28,2.06,6.16,-3.97,-7.87,3.54,-46.11,-11.08,18.58,-53.66,-20.87,28.28,-34.54,-5.92,57.02,0.79,
148,-5.21,7.76,90.00,-4.58,4.23,1.92,-3.69,13.10,-41.76,-5.54,27.15,-46.68,-15.03,34.83,-26.13,-2.10,52.54,11.36,
149,-11.04,9.25,90.00,-7.24,-3.39,-0.40,-10.87,16.37,-34.61,-13.14,32.64,-42.65,-22.41,41.26,-21.81,-8.82,57.45,16.11,
150,-90.00,0.62,36.83,-9.23,-49.04,46.80,-1.65,23.40,37.98,-22.49,-90.00,37.38,-18.98,-90.00,18.96,-2.14,-90.00,7.14,
151,-90.00,1.31,36.49,-8.74,-48.93,46.23,-1.36,22.89,38.02,-22.23,-90.00,36.95,-19.05,-90.00,19.47,-1.97,-90.00,6.42,
152,-90.00,7.70,47.15,-15.18,-42.15,27.08,-9.51,28.31,29.26,-29.04,-61.57,53.47,-20.51,-90.00,34.12,-4.50,-90.00,18.25,
153,-90.00,1.30,45.60,-13.79,-37.88,39.63,0.65,27.12,31.89,-21.60,-77.27,42.77,-17.00,-90.00,25.57,-2.60,-90.00,12.60,
154,-90.00,-3.25,48.71,-13.02,-33.14,45.37,5.80,27.72,30.19,-11.57,-62.71,51.11,-6.79,-90.00,30.54,4.75,-90.00,14.59,
155,-51.76,-5.22,72.53,-18.58,-14.42,41.32,11.89,38.63,11.03,3.25,-32.75,90.00,9.97,-50.56,50.75,17.75,-54.48,28.64,
156,-42.92,-11.79,78.68,-12.59,-8.99,41.44,17.83,30.90,3.36,10.94,-29.59,62.49,13.12,-42.40,42.63,22.42,-38.93,30.60,
157,-43.84,-7.74,85.72,-20.08,-12.52,40.73,14.80,40.60,6.67,7.65,-28.44,90.00,13.12,-44.35,55.88,19.24,-45.12,35.64,
158,-90.00,2.66,29.75,-5.64,-61.28,39.42,-0.97,16.92,46.57,-21.55,-90.00,35.83,-19.96,-90.00,25.25,-4.08,-90.00,11.47,
159,-90.00,26.71,42.78,-13.52,-42.92,8.91,-24.34,25.06,24.25,-50.52,-45.40,55.81,-41.68,-90.00,55.02,-29.26,-90.00,33.00,
160,-90.00,21.29,42.39,-7.99,-43.04,10.30,-22.76,18.63,24.73,-45.94,-48.93,44.65,-36.02,-90.00,43.00,-24.11,-90.00,24.95,
161,-90.00,16.42,44.04,-13.29,-41.20,19.99,-14.36,24.37,29.20,-40.34,-54.52,50.47,-30.67,-90.00,43.26,-19.50,-90.00,22.61,
162,-90.00,-0.34,44.13,-14.38,-40.20,37.91,0.48,25.76,36.97,-22.61,-90.00,39.98,-17.26,-90.00,24.78,1.23,-90.00,8.84,
163,-90.00,-13.25,46.30,-11.45,-29.03,54.30,16.02,25.09,32.92,0.34,-90.00,32.33,-1.23,-90.00,15.64,15.55,-69.90,7.05,
164,-68.99,-35.71,40.21,0.95,-19.67,90.00,33.65,15.72,29.80,22.46,-67.29,13.42,15.12,-58.25,-8.87,31.68,-40.05,-6.48,
165,-90.00,2.79,50.43,-12.98,-36.99,31.36,-5.54,25.18,29.98,-14.56,-90.00,36.40,-8.20,-90.00,24.88,6.43,-63.77,26.67,
166,-53.95,24.51,50.32,-3.21,-37.24,-1.41,-28.75,18.23,11.02,-37.18,-51.81,51.01,-23.33,-69.77,53.31,-12.67,-51.71,50.08,
